order_id,order_date,customer_name,city,product,product_type,payment_type,order_value,delay,attempts,risk,status,action
ORD00001,2026-04-11,Anjali Yadav,Chandigarh,Borosilicate Glass Water Bottle 750ml,Water Bottle,UPI,955,13,1,Low,Delivered,Normal Delivery
ORD00002,2026-04-11,Nikhil Patel,Jaipur,Borosilicate Glass Bottle Duo 750ml,Water Bottle Combo,COD,1499,2,4,High,Delivered,Call Customer
ORD00003,2026-04-11,Yash Kumar,Hyderabad,Customized Borosilicate Glass Bottle 750ml,Water Bottle,COD,979,13,5,Medium,Delivered,Send Reminder
ORD00004,2026-04-11,Rahul Rao,Bangalore,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,898,14,5,Low,Delivered,Normal Delivery
ORD00005,2026-04-11,Kavya Kapoor,Delhi,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Debit Card,1174,13,3,Low,Delivered,Normal Delivery
ORD00006,2026-04-11,Vikas Ghosh,Nagpur,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Debit Card,1110,7,1,High,Delivered,Call Customer
ORD00007,2026-04-11,Siddharth Pandey,Mumbai,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,UPI,1189,3,5,Medium,Delivered,Send Reminder
ORD00008,2026-04-11,Anjali Agarwal,Chandigarh,GlassUp Lunch Box 500ml,500ml Lunch Box,UPI,901,8,4,Medium,Delivered,Send Reminder
ORD00009,2026-04-11,Rahul Mehta,Delhi,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,907,9,2,Medium,Delivered,Send Reminder
ORD00010,2026-04-11,Vikram Agarwal,Ahmedabad,Customized Borosilicate Glass Bottle 750ml,Water Bottle,COD,979,0,3,High,Delivered,Call Customer
ORD00011,2026-04-11,Kavya Ghosh,Ahmedabad,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1120,14,5,High,Returned,Call Customer
ORD00012,2026-04-11,Suresh Tripathi,Surat,Pack of 4 Stainless Steel Straws,Straws,COD,349,6,3,High,Returned,Call Customer
ORD00013,2026-04-11,Neha Shah,Kota,Glass Lunch Box Set of 3 (300ml) without Bag,300ml Lunch Box Combos,COD,1799,10,1,Medium,Delivered,Send Reminder
ORD00014,2026-04-11,Anita Patel,Surat,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1135,8,4,High,Delivered,Call Customer
ORD00015,2026-04-11,Neha Sharma,Hyderabad,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Credit Card,1120,12,5,High,Delivered,Call Customer
ORD00016,2026-04-11,Preeti Kapoor,Indore,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Credit Card,1072,7,4,High,Delivered,Call Customer
